datetime,close,high,low,open,volume,instrument
2014-01-24 00:00:00,114,115.35,113,113.15,5737135,HINDALCO
2014-01-27 00:00:00,111.1,112.7,109.3,112,8724577,HINDALCO
2014-01-28 00:00:00,113.8,115,109.75,110,4513345,HINDALCO
2014-01-29 00:00:00,111.75,114.75,111.15,114.5,4713458,HINDALCO
2014-01-30 00:00:00,108.1,110.7,107.6,110.2,5077231,HINDALCO
2014-01-31 00:00:00,109.55,110,107,109.05,8287236,HINDALCO
2014-02-03 00:00:00,103.45,109.4,103,109,5572627,HINDALCO
2014-02-04 00:00:00,102.45,103.45,99.8,102,13935173,HINDALCO
2014-02-05 00:00:00,104.25,105.15,101,102.4,9106760,HINDALCO
2014-02-06 00:00:00,105.75,106.5,103.1,104.65,10194884,HINDALCO
2014-02-07 00:00:00,106.4,107.7,104.75,106.15,9650511,HINDALCO
2014-02-10 00:00:00,106.8,107.7,105.8,106.45,3124538,HINDALCO
2014-02-11 00:00:00,104.55,107.1,104.25,106.9,3964390,HINDALCO
2014-02-12 00:00:00,103.5,105.6,103.05,105.15,5325176,HINDALCO
2014-02-13 00:00:00,100.2,104.55,99.75,103.9,12652556,HINDALCO
2014-02-14 00:00:00,99.9,101,97.85,100.75,6390793,HINDALCO
2014-02-17 00:00:00,98.5,100.75,97.65,100,6870442,HINDALCO
2014-02-18 00:00:00,99.3,100.5,97.75,98.7,8475360,HINDALCO
2014-02-19 00:00:00,98.85,100.1,98.4,99.6,4582897,HINDALCO
2014-02-20 00:00:00,97.35,98.55,97.05,98.5,3404267,HINDALCO
2014-02-21 00:00:00,97.65,98.25,97.3,97.3,6484994,HINDALCO
2014-02-24 00:00:00,97.45,98.8,96.7,97.65,8047904,HINDALCO
2014-02-25 00:00:00,98.8,99.05,97,97.15,15034041,HINDALCO
2014-02-26 00:00:00,98.4,99.75,98.05,99.75,12130348,HINDALCO
2014-02-28 00:00:00,105.35,106.4,99,99,26493472,HINDALCO
2014-03-03 00:00:00,105.6,107.35,104.7,105,9870841,HINDALCO
2014-03-04 00:00:00,113.6,114.25,105.4,105.4,16427565,HINDALCO
2014-03-05 00:00:00,115.75,117.2,112.2,114.85,12023136,HINDALCO
2014-03-06 00:00:00,120.8,121.2,114.7,115.75,16609108,HINDALCO
2014-03-07 00:00:00,124.55,125.85,119.8,120.1,15695038,HINDALCO
2014-03-10 00:00:00,121.95,123.5,121,123.05,8823020,HINDALCO
2014-03-11 00:00:00,117.4,121.9,116.2,121.9,14421017,HINDALCO
2014-03-12 00:00:00,114.75,118.4,113.95,115.7,9497798,HINDALCO
2014-03-13 00:00:00,115.65,118.95,114.5,114.5,6402750,HINDALCO
2014-03-14 00:00:00,115.2,116.1,113.5,114.7,5684021,HINDALCO
2014-03-18 00:00:00,114.85,116.4,114.2,116,8034386,HINDALCO
2014-03-19 00:00:00,120.05,121.1,114.05,115.25,15915307,HINDALCO
2014-03-20 00:00:00,119.65,121.95,119,119.65,7021283,HINDALCO
2014-03-21 00:00:00,123.5,124,119.8,120.55,10588714,HINDALCO
2014-03-22 00:00:00,121.2,123.15,120.75,123.15,652207,HINDALCO
2014-03-24 00:00:00,121.6,122.5,118.2,120,7514958,HINDALCO
2014-03-25 00:00:00,120.75,122.65,120.25,120.95,8547719,HINDALCO
2014-03-26 00:00:00,125.4,125.95,121.1,121.1,14059505,HINDALCO
2014-03-27 00:00:00,125.4,126.45,124.05,125.2,6763076,HINDALCO
2014-03-28 00:00:00,130.9,131.7,125,125.4,9719662,HINDALCO
2014-03-31 00:00:00,141.75,142.95,131.05,132,27873616,HINDALCO
2014-04-01 00:00:00,138.2,142.5,136.1,142,12584698,HINDALCO
2014-04-02 00:00:00,136,139.55,134.6,139,10111996,HINDALCO
2014-04-03 00:00:00,137.15,140.9,133.3,136,10256995,HINDALCO
2014-04-04 00:00:00,137.65,139.4,136.1,137.9,5444146,HINDALCO
2014-04-07 00:00:00,137.35,138.95,134.2,137.5,4661247,HINDALCO
2014-04-09 00:00:00,142.9,143.95,137.8,138,9943888,HINDALCO
2014-04-10 00:00:00,142.5,145.1,140.6,143.5,8923225,HINDALCO
2014-04-11 00:00:00,140.7,143.25,139.2,141.1,5404598,HINDALCO
2014-04-15 00:00:00,134.05,142.1,133.2,140.7,5422799,HINDALCO
2014-04-16 00:00:00,135.45,137.85,131.6,133.3,8006291,HINDALCO
2014-04-17 00:00:00,141.45,142,135,135.75,8629888,HINDALCO
2014-04-21 00:00:00,143.5,144.5,141.5,141.8,4436455,HINDALCO
2014-04-22 00:00:00,144.85,147.2,140.3,142,6223989,HINDALCO
2014-04-23 00:00:00,145.15,146,142.8,145,5031335,HINDALCO
2014-04-25 00:00:00,143.75,146.9,142.2,143.3,4116077,HINDALCO
2014-04-28 00:00:00,141.25,145.3,140.8,143,4118525,HINDALCO
2014-04-29 00:00:00,137.2,143,136.3,141,4775590,HINDALCO
2014-04-30 00:00:00,134.3,138.85,132.05,136.65,7609347,HINDALCO
2014-05-02 00:00:00,131.65,136,130.25,135.2,5364611,HINDALCO
2014-05-05 00:00:00,138.9,141,129.85,130,9715098,HINDALCO
2014-05-06 00:00:00,138.7,140.65,135.8,139.4,4170017,HINDALCO
2014-05-07 00:00:00,135.2,138.65,134.3,138.35,3592081,HINDALCO
2014-05-08 00:00:00,136.75,139.1,135,136.25,4178306,HINDALCO
2014-05-09 00:00:00,144.1,144.7,136.5,136.5,7371362,HINDALCO
2014-05-12 00:00:00,143.4,144.8,140.55,143.5,8081158,HINDALCO
2014-05-13 00:00:00,142.2,149.8,141.2,144,16612600,HINDALCO
2014-05-14 00:00:00,141.2,145.8,140.4,142.2,12157631,HINDALCO
2014-05-15 00:00:00,138.5,143.45,137.1,142,6154288,HINDALCO
2014-05-16 00:00:00,141.2,145.95,139.1,141.9,13107049,HINDALCO
2014-05-19 00:00:00,152.05,152.95,142,142.6,13751989,HINDALCO
2014-05-20 00:00:00,156.2,159,152.35,155.15,9385502,HINDALCO
2014-05-21 00:00:00,159.7,163.65,152.05,156.1,13573762,HINDALCO
2014-05-22 00:00:00,155.1,161.85,154,161.85,12270836,HINDALCO
2014-05-23 00:00:00,152.05,156.95,149.7,156.95,19542712,HINDALCO
2014-05-26 00:00:00,147.1,155.2,143.7,155,12522081,HINDALCO
2014-05-27 00:00:00,149.65,150.5,141.75,147.9,13805470,HINDALCO
2014-05-28 00:00:00,147.2,151.55,146.1,149.7,11376239,HINDALCO
2014-05-29 00:00:00,149.3,153.2,143.1,146.5,19321960,HINDALCO
2014-05-30 00:00:00,148,152.5,147,151.5,11040937,HINDALCO
2014-06-02 00:00:00,150.05,151.15,146.35,147.3,13844656,HINDALCO
2014-06-03 00:00:00,155.2,155.7,149.35,150.7,23276134,HINDALCO
2014-06-04 00:00:00,160.7,161.75,155.2,156,15948295,HINDALCO
2014-06-05 00:00:00,169.85,171,159.95,160.6,20296986,HINDALCO
2014-06-06 00:00:00,169.25,172.1,165.3,172,13769155,HINDALCO
2014-06-09 00:00:00,169.6,173.65,167.6,169.8,10337636,HINDALCO
2014-06-10 00:00:00,169.75,173.35,162.2,169.65,13457788,HINDALCO
2014-06-11 00:00:00,162.65,171.5,161,170,11473448,HINDALCO
2014-06-12 00:00:00,169.25,170,162,162.8,13367632,HINDALCO
2014-06-13 00:00:00,162.35,169.45,158.5,169.45,11006055,HINDALCO
2014-06-16 00:00:00,161.2,168.25,158.6,161.5,10365321,HINDALCO
2014-06-17 00:00:00,162.65,163.7,157,161,9823831,HINDALCO
2014-06-18 00:00:00,166.8,169.6,161.35,161.35,14186255,HINDALCO
2014-06-19 00:00:00,167.75,170.7,164.15,167.95,14719990,HINDALCO
2014-06-20 00:00:00,163.8,169.8,163,167.9,8800606,HINDALCO
2014-06-23 00:00:00,165.3,167.4,163.15,163.5,8765528,HINDALCO
2014-06-24 00:00:00,166.8,168.35,165.3,166.1,6166113,HINDALCO
2014-06-25 00:00:00,166.7,168,165.65,167,4898203,HINDALCO
2014-06-26 00:00:00,165.25,168.25,164,166.5,7655847,HINDALCO
2014-06-27 00:00:00,160.9,165.3,160.25,165.1,6538554,HINDALCO
2014-06-30 00:00:00,164.2,165.3,160,160.5,5259988,HINDALCO
2014-07-01 00:00:00,175.25,177.2,167.2,167.2,18819612,HINDALCO
2014-07-02 00:00:00,178.25,179.15,174.05,177.8,11699288,HINDALCO
2014-07-03 00:00:00,173.75,180.75,172.85,178.25,12055737,HINDALCO
2014-07-04 00:00:00,173.25,174.55,171.05,171.95,6733395,HINDALCO
2014-07-07 00:00:00,174.5,175.85,172.1,173.45,7093773,HINDALCO
2014-07-08 00:00:00,169,175.9,168.15,174.7,6479098,HINDALCO
2014-07-09 00:00:00,170.55,177.6,167.3,168.35,11753471,HINDALCO
2014-07-10 00:00:00,176.25,184.9,168.3,172,13850220,HINDALCO
2014-07-11 00:00:00,166.75,177.65,165.35,176.5,9546897,HINDALCO
2014-07-14 00:00:00,173.4,175,165,165.45,7338881,HINDALCO
2014-07-15 00:00:00,174.7,176.4,167.65,175.4,8803424,HINDALCO
2014-07-16 00:00:00,182.3,183.3,174.3,176,10109551,HINDALCO
2014-07-17 00:00:00,188.65,189.5,180.6,183.3,11547823,HINDALCO
2014-07-18 00:00:00,184.6,187.15,183.55,187,9555163,HINDALCO
2014-07-21 00:00:00,183.85,186,179.2,185.85,12711833,HINDALCO
2014-07-22 00:00:00,188.25,190,183,184.6,12856830,HINDALCO
2014-07-23 00:00:00,193.75,194.5,189,189,16908175,HINDALCO
2014-07-24 00:00:00,198,198.9,192.5,194.2,14784601,HINDALCO
2014-07-25 00:00:00,191.8,198.9,190.5,198.9,14535973,HINDALCO
2014-07-28 00:00:00,187.8,194.4,186.5,191.8,7659739,HINDALCO
2014-07-30 00:00:00,192.6,193.8,186.1,188.05,10593328,HINDALCO
2014-07-31 00:00:00,191.7,195,188.65,193.1,13370034,HINDALCO
2014-08-01 00:00:00,184.3,194.7,183.15,189.7,12377607,HINDALCO
2014-08-04 00:00:00,190.9,193.15,184.1,184.1,9443678,HINDALCO
2014-08-05 00:00:00,195.65,196.6,189.1,191.4,10095697,HINDALCO
2014-08-06 00:00:00,191.75,196.7,190.95,194.25,6055467,HINDALCO
2014-08-07 00:00:00,189.1,193.35,188.1,192,7742761,HINDALCO
2014-08-08 00:00:00,183.95,187.2,180.55,186.8,9919821,HINDALCO
2014-08-11 00:00:00,185.65,187.9,184.5,185,4670064,HINDALCO
2014-08-12 00:00:00,185.4,187.8,183.3,187.8,7032239,HINDALCO
2014-08-13 00:00:00,180.05,185.45,177.15,184.55,7549317,HINDALCO
2014-08-14 00:00:00,178.6,183.45,175.75,180.8,14030737,HINDALCO
2014-08-18 00:00:00,182.25,185.25,176.05,176.45,9334923,HINDALCO
2014-08-19 00:00:00,180.85,185.65,179.8,182.4,10288612,HINDALCO
2014-08-20 00:00:00,180.35,183,179.45,180.45,10604946,HINDALCO
2014-08-21 00:00:00,177.9,182.35,176.5,179,7638544,HINDALCO
2014-08-22 00:00:00,182.5,184.15,178.05,178.05,8364204,HINDALCO
2014-08-25 00:00:00,164.85,184.7,160.15,183.75,18698120,HINDALCO
2014-08-26 00:00:00,170.5,171.6,157.7,159,22135877,HINDALCO
2014-08-27 00:00:00,172.3,173.3,168.25,171,9876204,HINDALCO
2014-08-28 00:00:00,170.1,173.8,169.5,171.85,6182439,HINDALCO
2014-09-01 00:00:00,176.15,178.95,169.4,171.9,11752433,HINDALCO
2014-09-02 00:00:00,174.85,177.5,173.5,176,7741063,HINDALCO
2014-09-03 00:00:00,175.1,177.25,173.2,174,8545333,HINDALCO
2014-09-04 00:00:00,169.5,174.95,165.85,173.3,6861332,HINDALCO
2014-09-05 00:00:00,167.7,172.45,166.05,168.55,5787423,HINDALCO
2014-09-08 00:00:00,173.45,174,168.1,168.1,8514685,HINDALCO
2014-09-09 00:00:00,172.9,174.95,169.35,172.5,7951226,HINDALCO
2014-09-10 00:00:00,172.9,174.9,170.1,170.6,4651282,HINDALCO
2014-09-11 00:00:00,173,175.45,171.7,172.05,4690133,HINDALCO
2014-09-12 00:00:00,168.6,173.45,167.1,173,6512210,HINDALCO
2014-09-15 00:00:00,163.6,168.75,162.95,167.95,8421482,HINDALCO
2014-09-16 00:00:00,160.35,165.95,160,162,8528462,HINDALCO
2014-09-17 00:00:00,160.65,163.3,157,162.05,7797094,HINDALCO
2014-09-18 00:00:00,163,165.25,159.45,160.5,4836865,HINDALCO
2014-09-19 00:00:00,164.3,166.5,162.1,163.3,8650571,HINDALCO
2014-09-22 00:00:00,162.2,165.35,160.25,164.1,5133026,HINDALCO
2014-09-23 00:00:00,157.15,164,155.2,161.55,7484298,HINDALCO
2014-09-24 00:00:00,156.1,162.5,148.7,155.6,22873474,HINDALCO
2014-09-25 00:00:00,149.15,155.65,133.05,154.8,31086655,HINDALCO
2014-09-26 00:00:00,157.25,159.1,146.1,146.7,13351556,HINDALCO
2014-09-29 00:00:00,159.7,161.65,153.6,157.8,9198699,HINDALCO
2014-09-30 00:00:00,156.75,163,155.9,158.5,10734306,HINDALCO
2014-10-01 00:00:00,155.25,158.4,152.65,155.2,8703260,HINDALCO
2014-10-07 00:00:00,148.25,154.55,147.25,153.8,12921339,HINDALCO
2014-10-08 00:00:00,148.8,149.8,145.7,146.8,9467940,HINDALCO
2014-10-09 00:00:00,157.85,158.5,151.1,151.1,12406852,HINDALCO
2014-10-10 00:00:00,150.15,155.05,149.45,155.05,10095610,HINDALCO
2014-10-13 00:00:00,151.1,152,147.4,149.7,7777533,HINDALCO
2014-10-14 00:00:00,151,155.2,147.55,151.6,11878963,HINDALCO
2014-10-16 00:00:00,142.4,151,141.3,151,11734190,HINDALCO
2014-10-17 00:00:00,139.45,144,138.15,143,13305567,HINDALCO
2014-10-20 00:00:00,146.5,147.55,141.95,143,10451491,HINDALCO
2014-10-21 00:00:00,147.9,150.9,147.05,147.55,8449946,HINDALCO
2014-10-22 00:00:00,148.45,151,145.5,150,7869325,HINDALCO
2014-10-23 00:00:00,149.25,149.95,149,149.9,657080,HINDALCO
2014-10-27 00:00:00,147.35,151.5,146.55,150,6682773,HINDALCO
2014-10-28 00:00:00,147.7,148.9,144.65,146.6,6866486,HINDALCO
2014-10-29 00:00:00,156.9,158.3,148.2,148.2,12809507,HINDALCO
2014-10-30 00:00:00,160.35,162,154.6,156.75,11033080,HINDALCO
2014-10-31 00:00:00,163.7,164.45,158.8,160.2,7740469,HINDALCO
2014-11-03 00:00:00,163.55,166,160.5,163.1,7051365,HINDALCO
2014-11-05 00:00:00,156.5,164.05,155.3,163.45,8390745,HINDALCO
2014-11-07 00:00:00,156.1,160.45,154.6,157.05,9383309,HINDALCO
2014-11-10 00:00:00,152,157,151.5,156.55,9011011,HINDALCO
2014-11-11 00:00:00,151.25,154.8,149.65,153,11436433,HINDALCO
2014-11-12 00:00:00,151.3,153.65,150.65,151.5,10127123,HINDALCO
2014-11-13 00:00:00,151.9,154.5,149.6,152.3,13597431,HINDALCO
2014-11-14 00:00:00,157.3,158.65,150.95,152,10434031,HINDALCO
2014-11-17 00:00:00,158.05,159.05,155.5,156.15,5914642,HINDALCO
2014-11-18 00:00:00,155.3,160.75,154.55,157,9471205,HINDALCO
2014-11-19 00:00:00,154.75,160.2,154.05,157.5,9177295,HINDALCO
2014-11-20 00:00:00,156,157.6,154.1,156.5,6453261,HINDALCO
2014-11-21 00:00:00,160.3,161,155.9,156.5,8704409,HINDALCO
2014-11-24 00:00:00,165.65,168,161.95,162.65,10540335,HINDALCO
2014-11-25 00:00:00,165.55,166.5,158.8,165.6,9865469,HINDALCO
2014-11-26 00:00:00,169.15,169.8,162.15,164.6,7594843,HINDALCO
2014-11-27 00:00:00,172.6,176.6,168.8,170,16167478,HINDALCO
2014-11-28 00:00:00,174.05,175.2,172.1,173.4,8705076,HINDALCO
2014-12-01 00:00:00,167.4,175.05,165.65,173,9673977,HINDALCO
2014-12-02 00:00:00,171.05,172.25,166,167,9360449,HINDALCO
2014-12-03 00:00:00,169.05,173,168,171.8,6342942,HINDALCO
2014-12-04 00:00:00,165.9,171.3,165.3,170.05,7635372,HINDALCO
2014-12-05 00:00:00,163.2,167.8,162.9,167.45,6802949,HINDALCO
2014-12-08 00:00:00,159.15,164.85,157.8,162.75,9025091,HINDALCO
2014-12-09 00:00:00,154.45,158.75,152.5,157.7,7678563,HINDALCO
2014-12-10 00:00:00,154,157.2,153.2,154.8,4808967,HINDALCO
2014-12-11 00:00:00,155.55,157.05,151.5,153.3,5043248,HINDALCO
2014-12-12 00:00:00,153.55,158,152.1,158,6382001,HINDALCO
2014-12-15 00:00:00,153.2,155.2,151.5,152,5268900,HINDALCO
2014-12-16 00:00:00,144.75,151.85,141.85,151,16684445,HINDALCO
2014-12-17 00:00:00,147.1,148.2,139,143,11916627,HINDALCO
2014-12-18 00:00:00,152.95,154.95,149,149,8113040,HINDALCO
2014-12-19 00:00:00,157.8,158.5,152,152,11532006,HINDALCO
2014-12-22 00:00:00,155.8,158.85,154.95,156.5,4714890,HINDALCO
2014-12-23 00:00:00,153.1,155.7,152.2,155.1,6821884,HINDALCO
2014-12-24 00:00:00,150.6,153.5,149.6,153.1,8568559,HINDALCO
2014-12-26 00:00:00,152,153.6,149.75,150.75,4821806,HINDALCO
2014-12-29 00:00:00,157.05,157.9,152.2,153,4804910,HINDALCO
2014-12-30 00:00:00,156.35,157.6,154.75,157.1,3056250,HINDALCO
2014-12-31 00:00:00,157.55,159.7,156.4,156.45,4327309,HINDALCO
2015-01-01 00:00:00,158.45,159,155.4,157.4,2350082,HINDALCO
2015-01-02 00:00:00,160.1,161.2,158.35,158.9,2923839,HINDALCO
2015-01-05 00:00:00,156.85,161.95,155.5,161,4830121,HINDALCO
2015-01-06 00:00:00,153.4,156.3,151.15,156.3,7054029,HINDALCO
2015-01-07 00:00:00,148.9,154.5,146.7,153.8,6638158,HINDALCO
2015-01-08 00:00:00,152.55,153.2,148.55,150.7,3540099,HINDALCO
2015-01-09 00:00:00,155,155.25,152.1,153.1,3743205,HINDALCO
2015-01-12 00:00:00,151.1,155.2,150.5,155.2,4659450,HINDALCO
2015-01-13 00:00:00,151.7,154.4,150.75,152.1,4324660,HINDALCO
2015-01-14 00:00:00,142.15,151.35,140.8,150.95,13580758,HINDALCO
2015-01-15 00:00:00,141.9,145.75,138.35,143.55,10860317,HINDALCO
2015-01-16 00:00:00,138.55,143.4,137.75,141.5,9096928,HINDALCO
2015-01-19 00:00:00,140.25,141.7,139.5,140.95,8541810,HINDALCO
2015-01-20 00:00:00,144.7,145.2,141,141,8856169,HINDALCO
2015-01-21 00:00:00,143.2,146.35,140.5,145.65,8871757,HINDALCO
2015-01-22 00:00:00,143.45,144.9,141.1,143.05,6918171,HINDALCO
2015-01-23 00:00:00,144.8,146.25,142.1,145.6,6943971,HINDALCO
2015-01-27 00:00:00,142.5,144.5,139,139.9,7886739,HINDALCO
2015-01-28 00:00:00,140.15,143.1,139.65,141.75,7496686,HINDALCO
2015-01-29 00:00:00,142.4,142.9,138.25,139.9,10636771,HINDALCO
2015-01-30 00:00:00,139.7,143.1,138.6,143,7570814,HINDALCO
2015-02-02 00:00:00,145.25,145.7,139.5,140,7296741,HINDALCO
2015-02-03 00:00:00,146.45,148.5,142.9,145.85,6262548,HINDALCO
2015-02-04 00:00:00,152.4,153.8,146,147,8349284,HINDALCO
2015-02-05 00:00:00,148.05,153.9,146.75,152.3,6672029,HINDALCO
2015-02-06 00:00:00,147.3,150,145.65,148,5623571,HINDALCO
2015-02-09 00:00:00,146.55,149,145.5,146.3,9737189,HINDALCO
2015-02-10 00:00:00,149.2,153.7,146.55,148.5,8706407,HINDALCO
2015-02-11 00:00:00,149.85,151.5,147.05,149.55,6154345,HINDALCO
2015-02-12 00:00:00,152.8,153.4,149.05,151.8,10713094,HINDALCO
2015-02-13 00:00:00,153.55,156.1,152,153,5666609,HINDALCO
2015-02-16 00:00:00,150.95,158,150.25,157,4949268,HINDALCO
2015-02-18 00:00:00,151.65,152.45,149.6,151,3717870,HINDALCO
2015-02-19 00:00:00,156.25,157.8,150.1,151,8185032,HINDALCO
2015-02-20 00:00:00,156.55,160.7,155.2,158,6630757,HINDALCO
2015-02-23 00:00:00,154.85,161.8,154.2,161.6,6743403,HINDALCO
2015-02-24 00:00:00,153.65,156.9,151.4,155,6455384,HINDALCO
2015-02-25 00:00:00,153.65,155.45,152.25,154.6,3479311,HINDALCO
2015-02-26 00:00:00,149.75,154,148,153.1,9010829,HINDALCO
2015-02-27 00:00:00,155.15,155.8,149.8,150.55,6534491,HINDALCO
2015-02-28 00:00:00,152.85,156.7,151,156.3,3999382,HINDALCO
2015-03-02 00:00:00,156.55,157.4,153.5,154.2,4452819,HINDALCO
2015-03-03 00:00:00,158.7,159.3,156.15,157.5,3718817,HINDALCO
2015-03-04 00:00:00,153.1,160,152.3,160,5559004,HINDALCO
2015-03-05 00:00:00,148.1,154,146.9,153.05,8404364,HINDALCO
2015-03-09 00:00:00,140.8,149.85,140,149.4,8031261,HINDALCO
2015-03-10 00:00:00,138.05,142.6,136.65,142.6,6588296,HINDALCO
2015-03-11 00:00:00,130.35,138.85,127.2,138.85,21561044,HINDALCO
2015-03-12 00:00:00,134.9,135.7,129.1,131.75,14242872,HINDALCO
2015-03-13 00:00:00,131.7,136.75,131.05,136.7,6690050,HINDALCO
2015-03-16 00:00:00,126.8,131.4,123.1,131,10785285,HINDALCO
2015-03-17 00:00:00,134.25,134.75,126.8,128,9699896,HINDALCO
2015-03-18 00:00:00,133.15,134.8,131.8,134,4154051,HINDALCO
2015-03-19 00:00:00,132.3,136.2,131.3,134,4626972,HINDALCO
2015-03-20 00:00:00,132.05,135,130.55,132.15,4836454,HINDALCO
2015-03-23 00:00:00,135.9,136.8,131.95,131.95,6306085,HINDALCO
2015-03-24 00:00:00,132.85,135.9,132,135.8,4386125,HINDALCO
2015-03-25 00:00:00,132.9,134.45,132.35,133,2895061,HINDALCO
2015-03-26 00:00:00,129.55,133.4,128.55,132.4,7955596,HINDALCO
2015-03-27 00:00:00,133.95,134.45,130.05,131,5241353,HINDALCO
2015-03-30 00:00:00,131.15,134.7,130.3,134.25,3651285,HINDALCO
2015-03-31 00:00:00,129,133.45,128.4,133,8516432,HINDALCO
2015-04-01 00:00:00,132.2,132.9,127.5,129,7180617,HINDALCO
2015-04-06 00:00:00,134.7,135.1,132,133.4,5542921,HINDALCO
2015-04-07 00:00:00,136.95,137.55,134.2,135,6514199,HINDALCO
2015-04-08 00:00:00,137.95,138.9,136.15,137.25,6176434,HINDALCO
2015-04-09 00:00:00,139.9,140.85,136.6,138.6,6142066,HINDALCO
2015-04-10 00:00:00,137.9,139.2,137.05,139,4860480,HINDALCO
2015-04-13 00:00:00,136.1,138.95,135.1,138,5017864,HINDALCO
2015-04-15 00:00:00,135.15,137.4,134.6,136,8714291,HINDALCO
2015-04-16 00:00:00,137.15,137.9,135.4,135.85,5457847,HINDALCO
2015-04-17 00:00:00,139.75,141.7,137.6,138,8674061,HINDALCO
2015-04-20 00:00:00,138.25,141.7,137.2,140.9,5669966,HINDALCO
2015-04-21 00:00:00,134.3,139.35,133.7,138.4,6236971,HINDALCO
